2025-10-23 17:20:30 - src.controllers.tmux_controller.codex - INFO - Initializing TmuxController for codex in session codex
2025-10-23 17:20:30 - src.controllers.tmux_controller.codex - DEBUG - Environment verification passed
2025-10-23 17:20:30 - src.controllers.tmux_controller.codex - DEBUG - tmux command returned 1: has-session -t codex
2025-10-23 17:20:30 - src.controllers.tmux_controller.codex - DEBUG - stderr: no server running on /tmp/tmux-1000/default
2025-10-23 17:20:30 - src.controllers.tmux_controller.codex - INFO - Starting session 'codex'
2025-10-23 17:20:30 - src.controllers.tmux_controller.codex - DEBUG - tmux command returned 1: has-session -t codex
2025-10-23 17:20:30 - src.controllers.tmux_controller.codex - DEBUG - stderr: no server running on /tmp/tmux-1000/default
2025-10-23 17:20:30 - src.controllers.tmux_controller.codex - DEBUG - Creating tmux session with executable: codex
2025-10-23 17:20:30 - src.controllers.tmux_controller.codex - DEBUG - Waiting 1s for AI process to spawn
2025-10-23 17:20:31 - src.controllers.tmux_controller.codex - DEBUG - Auto-confirming trust prompt
2025-10-23 17:20:32 - src.controllers.tmux_controller.codex - DEBUG - Waiting for AI to be fully ready...
2025-10-23 17:20:32 - src.controllers.tmux_controller.codex - DEBUG - Waiting for startup ready indicators: ['OpenAI Codex', '100% context left', 'Write tests for']
2025-10-23 17:20:32 - src.controllers.tmux_controller.codex - DEBUG - Will check for absence of loading indicators: ['esc to interrupt)']
2025-10-23 17:20:32 - src.controllers.tmux_controller.codex - DEBUG - Checking for indicators in 753 chars of output
2025-10-23 17:20:32 - src.controllers.tmux_controller.codex - DEBUG - Startup ready indicator found: 'OpenAI Codex'
2025-10-23 17:20:32 - src.controllers.tmux_controller.codex - DEBUG - Startup complete: ready indicator found, no loading indicators
2025-10-23 17:20:32 - src.controllers.tmux_controller.codex - DEBUG - Ready indicator found, allowing input buffer to stabilize (1.0s)...
2025-10-23 17:20:33 - src.controllers.tmux_controller.codex - INFO - Session 'codex' started successfully and ready
2025-10-23 17:20:33 - src.controllers.tmux_controller.codex - INFO - Sending command: Give a concise summary of the run_single_ai_wait_p...
2025-10-23 17:20:33 - src.controllers.tmux_controller.codex - INFO - Sleeping 0.100s before sending submit key 'Enter'
2025-10-23 17:20:33 - src.controllers.tmux_controller.codex - INFO - Submit key 'Enter' send-keys returned 0
2025-10-23 17:20:33 - src.controllers.tmux_controller.codex - DEBUG - Command sent successfully
2025-10-23 17:20:33 - src.controllers.tmux_controller.codex - DEBUG - wait_for_ready start timeout=500.0s interval=0.500s stable_checks=4
2025-10-23 17:20:33 - src.controllers.tmux_controller.codex - INFO - wait_for_ready detected processing start for session 'codex'
2025-10-23 17:20:33 - src.controllers.tmux_controller.codex - DEBUG - Loading indicator detected; waiting for completion
2025-10-23 17:20:34 - src.controllers.tmux_controller.codex - DEBUG - Loading indicator detected; waiting for completion
2025-10-23 17:20:34 - src.controllers.tmux_controller.codex - DEBUG - Loading indicator detected; waiting for completion
2025-10-23 17:20:35 - src.controllers.tmux_controller.codex - DEBUG - Loading indicator detected; waiting for completion
2025-10-23 17:20:35 - src.controllers.tmux_controller.codex - DEBUG - Loading indicator detected; waiting for completion
2025-10-23 17:20:36 - src.controllers.tmux_controller.codex - DEBUG - Loading indicator detected; waiting for completion
2025-10-23 17:20:36 - src.controllers.tmux_controller.codex - DEBUG - Loading indicator detected; waiting for completion
2025-10-23 17:20:37 - src.controllers.tmux_controller.codex - DEBUG - Loading indicator detected; waiting for completion
2025-10-23 17:20:37 - src.controllers.tmux_controller.codex - DEBUG - Loading indicator detected; waiting for completion
2025-10-23 17:20:38 - src.controllers.tmux_controller.codex - DEBUG - Loading indicator detected; waiting for completion
2025-10-23 17:20:38 - src.controllers.tmux_controller.codex - DEBUG - Loading indicator detected; waiting for completion
2025-10-23 17:20:39 - src.controllers.tmux_controller.codex - DEBUG - Loading indicator detected; waiting for completion
2025-10-23 17:20:39 - src.controllers.tmux_controller.codex - DEBUG - Loading indicator detected; waiting for completion
2025-10-23 17:20:40 - src.controllers.tmux_controller.codex - DEBUG - Loading indicator detected; waiting for completion
2025-10-23 17:20:40 - src.controllers.tmux_controller.codex - DEBUG - Loading indicator detected; waiting for completion
2025-10-23 17:20:41 - src.controllers.tmux_controller.codex - DEBUG - Loading indicator detected; waiting for completion
2025-10-23 17:20:41 - src.controllers.tmux_controller.codex - DEBUG - Loading indicator detected; waiting for completion
2025-10-23 17:20:42 - src.controllers.tmux_controller.codex - DEBUG - Loading indicator detected; waiting for completion
2025-10-23 17:20:42 - src.controllers.tmux_controller.codex - DEBUG - Loading indicator detected; waiting for completion
2025-10-23 17:20:43 - src.controllers.tmux_controller.codex - DEBUG - Loading indicator detected; waiting for completion
2025-10-23 17:20:43 - src.controllers.tmux_controller.codex - DEBUG - Loading indicator detected; waiting for completion
2025-10-23 17:20:44 - src.controllers.tmux_controller.codex - DEBUG - Loading indicator detected; waiting for completion
2025-10-23 17:20:44 - src.controllers.tmux_controller.codex - DEBUG - Loading indicator detected; waiting for completion
2025-10-23 17:20:45 - src.controllers.tmux_controller.codex - DEBUG - Loading indicator detected; waiting for completion
2025-10-23 17:20:45 - src.controllers.tmux_controller.codex - DEBUG - Loading indicator detected; waiting for completion
2025-10-23 17:20:46 - src.controllers.tmux_controller.codex - DEBUG - Loading indicator detected; waiting for completion
2025-10-23 17:20:46 - src.controllers.tmux_controller.codex - DEBUG - Loading indicator detected; waiting for completion
